"","Id","SalePrice","MSSubClass","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","MSZoning","Street","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","Heating","HeatingQC","CentralAir","Electrical","KitchenQual","Functional","GarageType","GarageFinish","GarageQual","GarageCond","PavedDrive","SaleType","SaleCondition"
"1",1,208500,60,8450,7,5,2003,2003,196,706,0,150,856,856,854,0,1710,1,0,2,1,3,1,8,0,2003,2,548,0,61,0,0,0,0,0,2,2008,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Attchd","RFn","TA","TA","Y","WD","Normal"
"2",2,181500,20,9600,6,8,1976,1976,0,978,0,284,1262,1262,0,0,1262,0,1,2,0,3,1,6,1,1976,2,460,298,0,0,0,0,0,0,5,2007,"RL","Pave","Reg","Lvl","AllPub","FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","CBlock","Gd","TA","Gd","ALQ","Unf","GasA","Ex","Y","SBrkr","TA","Typ","Attchd","RFn","TA","TA","Y","WD","Normal"
"3",3,223500,60,11250,7,5,2001,2002,162,486,0,434,920,920,866,0,1786,1,0,2,1,3,1,6,1,2001,2,608,0,42,0,0,0,0,0,9,2008,"RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","Mn","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Attchd","RFn","TA","TA","Y","WD","Normal"
"4",4,140000,70,9550,7,5,1915,1970,0,216,0,540,756,961,756,0,1717,1,0,1,0,3,1,7,1,1998,3,642,0,35,272,0,0,0,0,2,2006,"RL","Pave","IR1","Lvl","AllPub","Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story","Gable","CompShg","Wd Sdng","Wd Shng","None","TA","TA","BrkTil","TA","Gd","No","ALQ","Unf","GasA","Gd","Y","SBrkr","Gd","Typ","Detchd","Unf","TA","TA","Y","WD","Abnorml"
"5",5,250000,60,14260,8,5,2000,2000,350,655,0,490,1145,1145,1053,0,2198,1,0,2,1,4,1,9,1,2000,3,836,192,84,0,0,0,0,0,12,2008,"RL","Pave","IR1","Lvl","AllPub","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","Av","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Attchd","RFn","TA","TA","Y","WD","Normal"
"6",6,143000,50,14115,5,5,1993,1995,0,732,0,64,796,796,566,0,1362,1,0,1,1,1,1,5,0,1993,2,480,40,30,0,320,0,0,700,10,2009,"RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","Wood","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","TA","Typ","Attchd","Unf","TA","TA","Y","WD","Normal"
"7",7,307000,20,10084,8,5,2004,2005,186,1369,0,317,1686,1694,0,0,1694,1,0,2,0,3,1,7,1,2004,2,636,255,57,0,0,0,0,0,8,2007,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Ex","TA","Av","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Attchd","RFn","TA","TA","Y","WD","Normal"
"8",8,200000,60,10382,7,6,1973,1973,240,859,32,216,1107,1107,983,0,2090,1,0,2,1,3,1,7,2,1973,2,484,235,204,228,0,0,0,350,11,2009,"RL","Pave","IR1","Lvl","AllPub","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story","Gable","CompShg","HdBoard","HdBoard","Stone","TA","TA","CBlock","Gd","TA","Mn","ALQ","BLQ","GasA","Ex","Y","SBrkr","TA","Typ","Attchd","RFn","TA","TA","Y","WD","Normal"
"9",9,129900,50,6120,7,5,1931,1950,0,0,0,952,952,1022,752,0,1774,0,0,2,0,2,2,8,2,1931,2,468,90,0,205,0,0,0,0,4,2008,"RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin","Gable","CompShg","BrkFace","Wd Shng","None","TA","TA","BrkTil","TA","TA","No","Unf","Unf","GasA","Gd","Y","FuseF","TA","Min1","Detchd","Unf","Fa","TA","Y","WD","Abnorml"
"10",10,118000,190,7420,5,6,1939,1950,0,851,0,140,991,1077,0,0,1077,1,0,1,0,2,2,5,2,1939,1,205,0,4,0,0,0,0,0,1,2008,"RL","Pave","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","BrkTil","TA","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","TA","Typ","Attchd","RFn","Gd","TA","Y","WD","Normal"
