"","Id","SalePrice","MSSubClass","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","ScreenPorch","MSZoning","LotShape","LandContour","LandSlope","Neighborhood","Condition1","BldgType","HouseStyle","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","HeatingQC","CentralAir","Electrical","KitchenQual","Functional","GarageType","GarageFinish","GarageCond","PavedDrive","SaleCondition"
"1",1,208500,0.0733498308209929,-0.207070756682052,0.651256095779058,-0.517022653386024,1.05063379786737,0.878367122733124,0.509839688100742,0.575227739911995,-0.944267060393254,-0.459145218497122,-0.793162022889067,1.16145362493334,0.37020659097219,1.10743069712304,0.789470016700575,1.22716489855019,0.163723018527333,-0.211381153187867,0.911897317042156,-0.950900669936958,0.992065984643381,0.31161787088171,0.350880094686988,-0.751918199272585,0.216429003220351,-0.359201822854257,-0.270115801243134,"RL","Reg","Lvl","Gtl","CollgCr","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","No","GLQ","Ex","Y","SBrkr","Gd","Typ","Attchd","RFn","TA","Y","Normal"
"2",2,181500,-0.872263882191367,-0.0918548989935732,-0.0718115086600481,2.17888118212682,0.156680025674322,-0.429429824620689,-0.572637289211919,1.17159068345886,-0.641008356851332,0.466305140465886,0.257052352914191,-0.794890864438069,-0.48234664247401,-0.819683507644112,0.789470016700575,-0.761359798323593,0.163723018527333,-0.211381153187867,-0.318574108911216,0.600289249736739,-0.101506351746081,0.31161787088171,-0.0607102107607402,1.62563778043276,-0.704241947620518,-0.359201822854257,-0.270115801243134,"RL","Reg","Lvl","Gtl","Veenker","Feedr","1Fam","1Story","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","CBlock","Gd","TA","Gd","ALQ","Ex","Y","SBrkr","TA","Typ","Attchd","RFn","TA","Y","Normal"
"3",3,223500,0.0733498308209929,0.0734548098638094,0.651256095779058,-0.517022653386024,0.984414999927141,0.829930198757056,0.322063069587321,0.0928753591020328,-0.301539658856643,-0.313261418069456,-0.627610988279686,1.18894324305097,0.514836157360384,1.10743069712304,0.789470016700575,1.22716489855019,0.163723018527333,-0.211381153187867,-0.318574108911216,0.600289249736739,0.91106062639231,0.31161787088171,0.631509848401348,-0.751918199272585,-0.0703373585169691,-0.359201822854257,-0.270115801243134,"RL","IR1","Lvl","Gtl","CollgCr","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","Mn","GLQ","Ex","Y","SBrkr","Gd","Typ","Attchd","RFn","TA","Y","Normal"
"4",4,140000,0.309753259074083,-0.0968642841104636,0.651256095779058,-0.517022653386024,-1.86299331150256,-0.720051368477092,-0.572637289211919,-0.499102562801103,-0.0616484456070629,-0.68708865666535,-0.521554856733052,0.936955076972689,0.383527735244787,1.10743069712304,-1.02568939177634,-0.761359798323593,0.163723018527333,-0.211381153187867,0.29666160406547,0.600289249736739,0.789552589015703,1.64974166937376,0.790533375506153,-0.751918199272585,-0.175988123367561,4.09112195001825,-0.270115801243134,"RL","IR1","Lvl","Gtl","Crawfor","Norm","1Fam","2Story","Gable","CompShg","Wd Sdng","Wd Shng","None","TA","TA","BrkTil","TA","Gd","No","ALQ","Gd","Y","SBrkr","Gd","Typ","Detchd","Unf","TA","Y","Abnorml"
"5",5,250000,0.0733498308209929,0.37501979390061,1.37432370021816,-0.517022653386024,0.951305600957028,0.733056350804922,1.36035731313212,0.463409687996958,-0.174804678271959,0.199611317809059,-0.045595632231083,1.61732312538406,1.29888064883323,1.10743069712304,0.789470016700575,1.22716489855019,1.38954664442428,-0.211381153187867,1.52713303001884,0.600289249736739,0.870557947266774,1.64974166937376,1.69790291251592,0.779929948725489,0.56356723058658,-0.359201822854257,-0.270115801243134,"RL","IR1","Lvl","Gtl","NoRidge","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","Av","GLQ","Ex","Y","SBrkr","Gd","Typ","Attchd","RFn","TA","Y","Normal"
"6",6,143000,-0.163053597432097,0.360492577061628,-0.794879113099154,-0.517022653386024,0.719539808166239,0.490871730924586,-0.572637289211919,0.632233021280445,-1.13889578057688,-0.595911281398059,-0.948366117835361,0.501702790110197,-0.292044581436912,1.10743069712304,-1.02568939177634,1.22716489855019,-2.28792423326657,-0.211381153187867,-0.933809821887902,-0.950900669936958,0.587039193388025,0.31161787088171,0.0328330404773799,-0.432783168439653,-0.251452955403697,-0.359201822854257,-0.270115801243134,"RL","IR1","Lvl","Gtl","Mitchel","Norm","1Fam","1.5Fin","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","Wood","Gd","TA","No","GLQ","Ex","Y","SBrkr","TA","Typ","Attchd","Unf","TA","Y","Normal"
"7",7,307000,-0.872263882191367,-0.0433640510620743,1.37432370021816,-0.517022653386024,1.08374319683748,0.975240970685258,0.454611270890912,2.02886241480747,-0.5663252432925,1.43278531829917,1.37452183652751,-0.794890864438069,0.339758261206254,1.10743069712304,0.789470016700575,-0.761359798323593,0.163723018527333,-0.211381153187867,0.29666160406547,0.600289249736739,1.03256866376892,0.31161787088171,0.762470400134717,1.28256762228736,0.156057137591441,-0.359201822854257,-0.270115801243134,"RL","Reg","Lvl","Gtl","Somerst","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Ex","TA","Av","GLQ","Ex","Y","SBrkr","Gd","Typ","Attchd","RFn","TA","Y","Normal"
"8",8,200000,0.0733498308209929,-0.0135081157654077,0.651256095779058,0.38161195845159,0.057351828763984,-0.574740596548891,0.752844723823992,0.910681895657105,-0.794900833275591,0.112992811305132,-0.143891559030403,1.45696701969788,1.09335442291316,1.10743069712304,0.789470016700575,1.22716489855019,0.163723018527333,-0.211381153187867,0.29666160406547,2.15147916941044,-0.223014389122688,0.31161787088171,0.0515416907250039,1.12300010687089,2.37472319945386,3.37121663381828,-0.270115801243134,"RL","IR1","Lvl","Gtl","NWAmes","PosN","1Fam","2Story","Gable","CompShg","HdBoard","HdBoard","Stone","TA","TA","CBlock","Gd","TA","Mn","ALQ","Ex","Y","SBrkr","TA","Typ","Attchd","RFn","TA","Y","Normal"
"9",9,129900,-0.163053597432097,-0.440508103129144,0.651256095779058,-0.517022653386024,-1.33324292798075,-1.68878984799844,-0.572637289211919,-0.972684900323611,0.870758911551682,-0.240319517855622,-0.363764026870986,0.927791870933479,0.491999910035932,-0.819683507644112,0.789470016700575,-0.761359798323593,-1.06210060736962,4.32709654761045,0.911897317042156,2.15147916941044,-1.92412691239518,0.31161787088171,-0.0232929102654922,-0.0338643798984876,-0.704241947620518,2.99490249125921,-0.270115801243134,"RM","Reg","Lvl","Gtl","OldTown","Artery","1Fam","1.5Fin","Gable","CompShg","BrkFace","Wd Shng","None","TA","TA","BrkTil","TA","TA","No","Unf","Gd","Y","FuseF","TA","Min1","Detchd","Unf","TA","Y","Abnorml"
"10",10,118000,3.14659439811116,-0.310264090089994,-0.794879113099154,0.38161195845159,-1.06836773621985,-1.68878984799844,-0.572637289211919,0.893141809082198,-0.966898306926233,-0.151421576970013,-0.22149360650355,-0.794890864438069,-0.834405455392641,1.10743069712304,-1.02568939177634,-0.761359798323593,-1.06210060736962,4.32709654761045,-0.933809821887902,2.15147916941044,-1.6001054793909,-1.02650592761034,-1.25338666404677,-0.751918199272585,-0.643870081991609,-0.359201822854257,-0.270115801243134,"RL","Reg","Lvl","Gtl","BrkSide","Artery","2fmCon","1.5Unf","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","BrkTil","TA","TA","No","GLQ","Ex","Y","SBrkr","TA","Typ","Attchd","RFn","TA","Y","Normal"
